/content/object-detection-gun-retinanet/dataset/images/armas (1448).jpg,272,120,365,160,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (1448).jpg,245,159,394,216,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (1448).jpg,103,167,206,204,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (1448).jpg,186,68,239,99,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (1448).jpg,101,55,210,107,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (1448).jpg,253,68,314,101,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (1180).jpg,15,9,488,342,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (697).jpg,191,82,362,217,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (1513).jpg,227,132,267,174,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (1279).jpg,58,14,272,472,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (586).jpg,10,99,620,394,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (1487).jpg,13,10,467,301,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (2712).jpg,1,3,157,115,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (295).jpg,19,8,118,84,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (2002).jpg,45,98,135,119,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (353).jpg,2,17,1099,646,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (1434).jpg,78,45,443,316,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (2892).jpg,17,94,67,113,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (2892).jpg,382,75,439,99,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (149).jpg,348,677,598,1095,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (1176).jpg,352,155,1221,818,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (1973).jpg,5,6,443,213,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (498).jpg,107,32,261,193,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (1219).jpg,78,50,369,225,pistol
/content/object-detection-gun-retinanet/dataset/images/armas (2544).jpg,3,2,156,116,pistol
